Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
AL801,Software Design for Virtual Reality and Gaming,300.0,,303.0,,304.0,328.0
AL802,Software Design in Artificial Intelligence for Clo,313.0,,332.0,,301.0,306.0
AL803,Software Design for Mobile Apps and Connected Devi,350.0,,337.0,,309.0,337.0
AL805,Computer Engineering for Network Infrastructure,321.0,,333.0,,329.0,442.0
AL810,Quantity Surveying,328.0,,319.0,,307.0,349.0
AL811,Civil Engineering,,,320.0,,,
AL820,Mechanical and Polymer Engineering,327.0,,308.0,,300.0,358.0
AL830,General Nursing,451.0,444.0,442.0,,410.0,429.0
AL832,Mental Health Nursing,440.0,431.0,387.0,384.0,387.0,403.0
AL835,Pharmacology,356.0,,,,,
AL836,Nutrition and Health Science,346.0,,334.0,,352.0,383.0
AL837,Sports Science with Exercise Physiology,357.0,,351.0,,351.0,392.0
AL838,Biotechnology,324.0,,307.0,,302.0,372.0
AL839,Microbiology,325.0,,325.0,,322.0,371.0
AL840,Pharmaceutical Sciences,346.0,,347.0,,328.0,411.0
AL841,Athletic and Rehabilitation Therapy,477.0,476.0,430.0,,423.0,430.0
AL842,Bioveterinary Science,338.0,,313.0,,310.0,366.0
AL843,Physical Activity and Health Science,306.0,,306.0,,310.0,330.0
AL849,Culinary Entrepreneurship,297.0,,,,,
AL850,Business,309.0,,309.0,,307.0,356.0
AL851,Business and Law,302.0,,295.0,,301.0,341.0
AL852,Accounting,336.0,,309.0,,290.0,346.0
AL854,Sport Management (with international placement),300.0,299.0,302.0,299.0,,
AL855,Hospitality Management (with international placeme,309.0,,308.0,,312.0,357.0
AL857,Digital Marketing,304.0,,304.0,,300.0,360.0
AL859,International Business,308.0,,,,,
AL860,Social Care Practice,301.0,,300.0,,309.0,338.0
AL861,Animation and Illustration (portfolio),575.0,,578.0,,615.0,899.0
AL863,Graphic and Digital Design (portfolio),747.0,,781.0,,703.0,898.0
AL864,Early Years Care and Education,306.0,,307.0,,307.0,348.0
AL870,Applied Psychology,484.0,467.0,418.0,,409.0,445.0
CW018,Business (options),307.0,,298.0,248.0,327.0,349.0
CW028,Early Childhood Education and Care,260.0,,252.0,,252.0,308.0
CW038,Art (portfolio),700.0,,700.0,,700.0,700.0
CW058,Tourism and Event Management,292.0,,298.0,,252.0,262.0
CW068,Applied Social Studies in Professional Social Care,250.0,,245.0,,251.0,280.0
CW078,Sustainable Farm Management and Agribusiness,270.0,,269.0,,266.0,320.0
CW088,Visual Communications and Design,270.0,,274.0,,309.0,345.0
CW108,Science (options),266.0,,261.0,,261.0,326.0
CW128,Brewing and Distilling,307.0,,263.0,,271.0,298.0
CW138,Sport and Exercise Science,430.0,423.0,423.0,,,
CW148,Strength and Conditioning,388.0,,379.0,,,
CW188,Sport Rehabilitation and Athletic Therapy,451.0,,451.0,448.0,454.0,473.0
CW208,Computer Games Development,272.0,,279.0,,281.0,338.0
CW238,Software Development,295.0,,297.0,,300.0,343.0
CW248,Information Technology Management,293.0,,285.0,,307.0,357.0
CW258,Cybercrime and IT Security,292.0,,293.0,,300.0,328.0
CW268,Computing in Interactive Digital Art and Design,291.0,,287.0,,274.0,321.0
CW438,Construction (options),260.0,251.0,272.0,,271.0,308.0
CW468,Architectural Technology,291.0,283.0,262.0,,252.0,290.0
CW478,Civil Engineering,465.0,,433.0,,348.0,383.0
CW548,Mechanical Engineering,330.0,328.0,321.0,,310.0,351.0
CW558,Electronic Systems,280.0,,280.0,,279.0,338.0
CW568,Aerospace Engineering,371.0,359.0,380.0,,366.0,422.0
CW578,TV and Media Production,318.0,,325.0,,327.0,361.0
CW708,Law - LLB,292.0,,302.0,,298.0,328.0
CW728,Product Design Innovation,246.0,,252.0,,286.0,355.0
CW748,Early Childhood Education and Care,290.0,,270.0,,265.0,338.0
CW758,Professional Social Care Practice,360.0,358.0,336.0,,290.0,319.0
CW808,Media and Public Relations,247.0,,251.0,,248.0,307.0
CW848,Digital Marketing with Analytics,269.0,,254.0,,279.0,307.0
CW858,Sports Management and Coaching (options  portfolio,700.0,,700.0,,700.0,700.0
CW908,Business (options),272.0,,280.0,,260.0,307.0
CW938,Business with Law,270.0,,283.0,,270.0,288.0
CW948,Accounting,319.0,,300.0,,301.0,408.0
PC405,Social  Political and Community Studies,263.0,235.0,253.0,216.0,251.0,296.0
PC410,Arts and Humanities (fulfils Teaching Council requ,262.0,230.0,252.0,209.0,203.0,289.0
PC411,English and History (fulfils Teaching Council requ,243.0,224.0,255.0,209.0,168.0,289.0
CR105,Chemical and Biopharmaceutical Engineering,443.0,,443.0,,432.0,498.0
CR106,Software Development,431.0,,411.0,,351.0,393.0
CR108,Mechanical Engineering,434.0,,434.0,,425.0,487.0
CR109,Structural Engineering,396.0,,394.0,,341.0,467.0
CR110,Automotive Business Management and Technology,336.0,,311.0,,318.0,347.0
CR112,Creative Digital Media at CIT Crawford College of,390.0,,361.0,,335.0,389.0
CR116,Computer Systems,365.0,,332.0,,318.0,381.0
CR121,Music at CIT Cork School of Music,904.0,904.0,868.0,,633.0,1052.0
CR125,Popular Music at CIT Cork School of Music,1028.0,,1088.0,,972.0,1021.0
CR130,Musical Theatre at CIT Cork School of Music,525.0,,548.0,518.0,500.0,600.0
CR150,Business Information Systems,350.0,,335.0,,326.0,371.0
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450.0,,,,979.0,979.0
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,,,,620.0,819.0
CR225,Photography with New Media at CIT Crawford College,435.0,,,,920.0,920.0
CR305,Physical Sciences (Common Entry),260.0,,282.0,,279.0,309.0
CR310,IT Management,347.0,,297.0,,282.0,317.0
CR320,Biomedical Science - Offered jointly by CIT and UC,590.0,,565.0,,546.0,556.0
CR325,Pharmaceutical Biotechnology,466.0,,398.0,,388.0,422.0
CR333,Nutrition and Health Science,425.0,,402.0,,360.0,393.0
CR335,Biological Sciences (Common Entry),473.0,,420.0,,381.0,419.0
CR340,Analytical Chemistry with Quality Assurance,327.0,,251.0,,288.0,315.0
CR360,Instrument Engineering,301.0,,261.0,,291.0,329.0
CR365,Environmental Science and Sustainable Technology,262.0,,253.0,,334.0,362.0
CR370,Agri-Biosciences,368.0,,397.0,,408.0,431.0
CR400,Accounting,315.0,,316.0,,316.0,389.0
CR420,Marketing,290.0,,285.0,,288.0,329.0
CR425,International Business with Language,279.0,,298.0,,300.0,392.0
CR430,Sport and Exercise Management,402.0,,322.0,,,
CR435,Coaching Science and Sports Pedagogy,410.0,,,,,
CR440,Montessori Education,409.0,408.0,288.0,,,
CR500,Engineering (Common Entry),475.0,,411.0,,381.0,424.0
CR510,Sustainable Energy Engineering,320.0,,320.0,,319.0,343.0
CR520,Biomedical Engineering,444.0,,444.0,,434.0,477.0
CR560,Architectural Technology,375.0,,308.0,,288.0,332.0
CR565,Interior Architecture,431.0,,359.0,,336.0,390.0
CR570,Quantity Surveying,375.0,,336.0,,279.0,342.0
CR572,Construction Management,300.0,,269.0,,253.0,300.0
CR580,Electrical Engineering,342.0,,318.0,,344.0,374.0
CR590,Electronic Engineering,329.0,,303.0,,342.0,411.0
CR600,Visual Communications at CIT Crawford College of A,280.0,,,,587.0,888.0
CR660,Tourism Management,246.0,,252.0,,249.0,290.0
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609.0,609.0,740.0,645.0,,
CR930,Home Economics and Business,518.0,,,,,
CK101,Arts - 3 years,300.0,,300.0,,300.0,368.0
CK102,Social Science,434.0,431.0,412.0,,391.0,431.0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,,302.0,,340.0,409.0
CK105,Film and Screen Media - 3 years or 4 years (Intern,421.0,420.0,368.0,337.0,397.0,442.0
CK107,Geographical and Archaeological Sciences - 3 or 4,312.0,,328.0,,326.0,388.0
